iteration,examples,avg_moves,loss,policy_loss,value_loss,skipped,iter_time_s,selfplay_elapsed_s,train_elapsed_s,replay,total_elapsed_s,total_eta_s,saved
49,5821,45.5,5.6266,4.6232,1.0035,0,28.0,15.0,12.0,100000,991.0,294.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0049.pt
50,5770,45.1,5.5055,4.6232,0.8823,0,28.0,16.0,12.0,100000,1020.0,268.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0050.pt
51,5999,46.9,5.6265,4.6225,1.004,0,28.0,16.0,12.0,100000,1048.0,242.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0051.pt
52,5835,45.6,5.5045,4.6223,0.8822,0,29.0,16.0,13.0,100000,1078.0,215.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0052.pt
53,5787,45.2,5.6272,4.6233,1.0038,0,30.0,17.0,13.0,100000,1109.0,189.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0053.pt
54,5678,44.4,5.5047,4.6225,0.8822,0,29.0,16.0,13.0,100000,1138.0,162.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0054.pt
55,5887,46.0,5.6261,4.6225,1.0036,0,29.0,16.0,12.0,100000,1168.0,135.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0055.pt
56,5913,46.2,5.5056,4.6233,0.8822,0,29.0,17.0,12.0,100000,1197.0,108.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0056.pt
57,5937,46.4,5.6265,4.6218,1.0047,0,29.0,16.0,12.0,100000,1226.0,81.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0057.pt
58,6238,48.7,5.5048,4.6226,0.8822,0,30.0,17.0,12.0,100000,1257.0,54.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0058.pt
59,5789,45.2,5.6278,4.6229,1.0049,0,29.0,16.0,12.0,100000,1287.0,27.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0059.pt
60,5960,46.6,5.5051,4.6229,0.8822,0,29.0,16.0,13.0,100000,1316.0,0.0,alphazero_gomoku/outputs/checkpoints/a100-turbo/gomoku10_iter_0060.pt
