avg_moves,black_win_rate,draw_rate,early_stopped,end_iteration,eval_draws,eval_losses,eval_score,eval_wins,evaluated,examples,failed_evals,full_search_rate,grad_norm,iter_seconds,iteration,loss,lr,optimizer_steps,policy_examples,policy_kl,policy_loss,policy_top1,pred_entropy,promoted,raw_examples,replay,selfplay_entropy,skipped,soft_policy_loss,target_entropy,total_seconds,value_acc,value_clamps,value_loss,value_mae,white_win_rate
42.15625,0.5520833333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,4047,0,0.2537430841385297,0.0,539.9875878896564,1,0.0,4e-05,0,1029,0.0,0.0,0.0,0.0,True,4047,4047,3.89079567062428,0,0.0,0.0,539.9875867366791,0.0,0,0.0,0.0,0.4479166666666667
40.71875,0.46875,0.0,False,100,0.0,0.0,1.0,0.0,False,3909,0,0.2630454432774936,11.916257093350092,687.5802076328546,2,29.32037005821864,8e-05,96,1023,0.3666364749249596,2.984937645252916,0.4215029924902952,3.137755131056919,True,3909,7956,3.8996336254634003,0,3.284434264794414,2.618301178759095,1227.5686006471515,0.9191640218098959,0,0.06077824051802357,0.16386255280425152,0.53125
35.65625,0.5104166666666666,0.0,False,100,0.0,0.0,1.0,0.0,False,3423,0,0.25099307692359374,16.472456067800522,428.6411631386727,3,29.911855320135754,0.00012000000000000002,96,856,0.6072057900127098,3.0254802083372248,0.4617384194190081,3.196300210230232,True,3423,11379,2.8470957416735554,0,3.3549042887101503,2.4182744089992942,1656.2103587444872,0.9412002563476562,0,0.047066012785459556,0.13531130917059878,0.4895833333333333
25.21875,0.5520833333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,2421,0,0.24989057442231508,17.935283710559208,387.761277185753,4,29.374279618263245,0.00016,96,610,0.531734613244016,2.911291092634684,0.4971195449610267,3.060502041588551,True,2421,13800,2.6281730363427465,0,3.300826818159989,2.379556471333382,2043.9722436368465,0.9264882405598959,0,0.05663992875876526,0.14572488081951937,0.4479166666666667
22.010416666666668,0.5729166666666666,0.0,False,100,0.0,0.0,1.0,16.0,True,2113,0,0.24452765290894374,17.798463265101116,902.3085075728595,5,29.11867767572403,0.0002,96,524,0.5100811610147802,2.8336074813045378,0.511454005453129,2.9387414447916806,True,2113,15913,2.300047317070648,0,3.2773429152002675,2.3235263076541455,2946.281337130815,0.9109598795572916,0,0.06658632738981396,0.162733166012913,0.4270833333333333
19.0625,0.6458333333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,1830,0,0.24580475067978255,16.0035504202048,347.14463379979134,6,28.530747572580974,0.00019995079316068335,96,452,0.4833543187398766,2.7257756711526184,0.5391937766926106,2.800190742674254,True,1830,17743,1.9751207207930743,0,3.2175553845818317,2.2424213333528518,3293.4265076480806,0.9140548706054688,0,0.06453945134611179,0.15992910492544374,0.3541666666666667
15.229166666666666,0.6875,0.0,False,100,0.0,0.0,1.0,0.0,False,1462,0,0.24299706532990273,15.096851964791616,320.7858270574361,7,27.877761324246723,0.00019980322644968973,96,355,0.44637812380974556,2.621199371892586,0.567952671966929,2.678007520187961,True,1462,19205,1.7703665506110091,0,3.1491397708222477,2.174821257659153,3614.212935967371,0.9160868326822916,0,0.06354855474395056,0.15832480198393264,0.3125
14.041666666666666,0.6458333333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,1348,0,0.25824168256326013,14.096621265014013,301.6099927779287,8,27.512550830841064,0.00019955746122905105,96,359,0.4429526591684523,2.5614470635037216,0.5808795534998258,2.600694594252374,True,1348,20553,1.6142751384172935,0,3.110694505232471,2.118494379848643,3915.823502300307,0.9133148193359375,0,0.06560646249757458,0.16225328420599303,0.3541666666666667
13.864583333333334,0.6770833333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,1331,0,0.2546448469808255,13.448009471098581,298.5867214240134,9,27.254466434319813,0.0001992137662394278,96,340,0.4291117206028762,2.5032974001378956,0.5946591120946105,2.5350239993036503,True,1331,21884,1.4570034537056002,0,3.0854613564982243,2.0741856845207947,4214.410822775215,0.9119008382161459,0,0.0674570807411025,0.1647828669908146,0.3229166666666667
16.28125,0.65625,0.0,False,100,0.0,1.0,0.9375,15.0,True,1563,0,0.270485233084758,13.092535724242529,543.1337842214853,10,27.052538792292278,0.00019877251730624501,96,413,0.4285446088320764,2.4565801720101135,0.6050599093264248,2.484256523026279,True,1563,23447,1.5899704166009396,0,3.0657994565635995,2.0280355705628703,4757.545209588483,0.9094212849934896,0,0.06933288741856813,0.16851757265006503,0.34375
15.75,0.5625,0.0,False,100,0.0,0.0,1.0,0.0,False,1512,0,0.25372044834285995,12.844347010056177,361.6942364163697,11,26.800954898198444,0.00019823419692873286,96,392,0.42719000473053226,2.4114167865490748,0.6123985108160501,2.434726311986274,True,1512,24959,1.331830096679569,0,3.039739704863837,1.9842268262155158,5119.240274487063,0.9059651692708334,0,0.07131756298864882,0.17205964447930455,0.4375
16.385416666666668,0.5729166666666666,0.0,False,100,0.0,0.0,1.0,0.0,False,1573,0,0.2446183175058192,12.511496563752493,390.9767290726304,12,26.583383123079937,0.00019759939375232053,96,390,0.4318266767097596,2.3775260191686036,0.615366525157424,2.3953375756418414,True,1573,26532,1.3768992463409393,0,3.016351723007115,1.945699361789806,5510.217562360689,0.9014485677083334,0,0.07492330251261592,0.17795573314651847,0.4270833333333333
17.09375,0.6354166666666666,0.0,False,100,0.0,0.0,1.0,0.0,False,1641,0,0.2636344779546094,12.241423199574152,410.88247689045966,13,26.456321875254314,0.00019686880192496139,96,439,0.42684877203063554,2.343863830456763,0.6245180969024705,2.360912755319254,True,1641,28173,1.5361451058242614,0,3.0045444304967863,1.9170150575594145,5921.10060216859,0.8985265096028646,0,0.07670748877959947,0.1814233735203743,0.3645833333333333
16.895833333333332,0.5416666666666666,0.0,False,100,0.0,0.0,1.0,0.0,False,1622,0,0.24860618649206867,12.075574199358622,427.39759502373636,14,26.241103013356526,0.0001960432203380922,96,409,0.42285028740690567,2.307441238324334,0.6301779705679653,2.324682021563434,True,1622,29795,1.31157305501172,0,2.9819091296454054,1.884590973687142,6348.498785898089,0.8953882853190104,0,0.07885821458573143,0.18507227674126625,0.4583333333333333
16.666666666666668,0.6666666666666666,0.0,False,100,0.0,2.0,0.875,14.0,True,1600,0,0.23457463952540258,11.914718141158422,700.7438782397658,15,26.09311866760254,0.00019512355175305712,96,372,0.4221642400018271,2.2783427599084343,0.6351298764471252,2.290691407539155,True,1600,31395,1.2695998770796457,0,2.966657977978512,1.8561785205515897,7049.2432161886245,0.8920211791992188,0,0.08129259788741668,0.18955578297997513,0.3333333333333333
16.479166666666668,0.5416666666666666,0.0,False,100,0.0,0.0,1.0,0.0,False,1582,0,0.2570852439769314,11.579848657051722,412.7571431118995,16,26.06982837120692,0.0001941108018139515,96,411,0.41633541048952283,2.256002164322284,0.6444768528298208,2.2693048369640225,True,1582,32977,1.4885849943476923,0,2.9665009266843074,1.8396667522281398,7462.001303656027,0.8921864827473959,0,0.08191401433820526,0.19080452931423983,0.4583333333333333
17.364583333333332,0.6145833333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,1667,0,0.23113079017570357,11.500328640143076,400.9838534798473,17,25.948638796806335,0.00019300607794796464,96,386,0.4151626155973257,2.2367884620407055,0.6477059307905422,2.2481328925475523,True,1667,34644,1.4852593135955943,0,2.9535410382899903,1.821625827922872,7862.985731728375,0.8902969360351562,0,0.08307010028511286,0.19281195725003877,0.3854166666666667
16.541666666666668,0.625,0.0,False,100,0.0,0.0,1.0,0.0,False,1588,0,0.254892792269322,11.293437540531158,365.8161900304258,18,25.79849882920583,0.00019181058815442463,96,398,0.41258190532072647,2.210816073430325,0.6515281116601872,2.2210922570862364,True,1588,36232,1.203279446586292,0,2.9379731095116464,1.7982341644308977,8228.802523022518,0.8899078369140625,0,0.08368044214633603,0.19421411879981557,0.375
17.791666666666668,0.5833333333333334,0.0,False,100,0.0,0.0,1.0,0.0,False,1708,0,0.24330346426934024,11.193103909492493,372.90245695598423,19,25.685828506946564,0.0001905256396838687,96,418,0.41425702515573043,2.1934143318520047,0.6538527022425451,2.2038290481977874,True,1708,37940,1.3436430301293854,0,2.9258726768939707,1.7791573033436279,8601.70558203198,0.8865559895833334,0,0.08612237552491327,0.19791579820836583,0.4166666666666667
17.666666666666668,0.5625,0.0,False,100,0.0,0.0,1.0,16.0,True,1696,0,0.26469670818981555,11.151677936315536,781.9142487924546,20,25.583221971988678,0.000189152637608584,96,450,0.41969515045277955,2.179584388870526,0.6517741633646046,2.1890465429509844,True,1696,39636,1.3597888817833568,0,2.9144257802908475,1.759889232160624,9383.620447356254,0.8829269409179688,0,0.08822186873294413,0.20207737075785795,0.4375
