iteration,raw_examples,examples,avg_moves,replay,target_policy_entropy_selfplay,black_win_rate,white_win_rate,draw_rate,selfplay_elapsed_seconds,loss,policy_loss,value_loss,policy_kl,target_entropy,pred_entropy,policy_top1,value_mae,value_acc,selfplay_entropy,eval_score,steps,skipped,value_clamps,iter_seconds,total_seconds,total_eta_seconds,saved,train_epoch_final_seconds,grad_norm,lr,eval_candidate_score,eval_wins,eval_losses,eval_draws,eval_threshold,promoted,iter_minutes,total_hours,total_eta_hours,selfplay_minutes,train_epoch_final_minutes,lr_x1e4,replay_k,examples_k,raw_examples_k,promoted_float
13,1935,15480,20.2,243640,1.2956,0.594,0.406,0.0,396.0,1.9291,1.7668,0.1623,0.673,1.0938,1.8221,0.6762,0.1604,0.9374,1.2956,1.0,96,0,0,546.0,6325.0,42331.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0013.pt,49.0,5.8111,0.000196869,,,,,,,9.1,1.7569444444444444,11.758611111111112,6.6,0.8166666666666667,1.9686899999999998,243.64,15.48,1.935,
14,1637,13096,17.1,256736,1.4548,0.656,0.344,0.0,366.0,1.9309,1.7656,0.1652,0.6588,1.1068,1.8124,0.6783,0.1621,0.9369,1.4548,1.0,96,0,0,517.0,6843.0,42035.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0014.pt,50.0,5.5969,0.000196043,,,,,,,8.616666666666667,1.9008333333333334,11.676388888888889,6.1,0.8333333333333334,1.96043,256.736,13.096,1.637,
15,1583,12664,16.5,269400,1.48,0.76,0.24,0.0,349.0,1.9272,1.7628,0.1644,0.6465,1.1163,1.8069,0.6824,0.1631,0.937,1.48,1.0,96,0,0,614.0,7457.0,42260.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0015.pt,50.0,5.3518,0.000195124,1.0,16.0,0.0,0.0,0.55,True,10.233333333333333,2.071388888888889,11.738888888888889,5.816666666666666,0.8333333333333334,1.9512399999999999,269.4,12.664,1.583,1.0
16,1472,11776,15.3,281176,1.4683,0.729,0.271,0.0,363.0,1.9266,1.7573,0.1692,0.6334,1.1239,1.7956,0.6849,0.1665,0.9361,1.4683,1.0,96,0,0,513.0,7971.0,41850.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0016.pt,50.0,5.1283,0.000194111,,,,,,,8.55,2.214166666666667,11.625,6.05,0.8333333333333334,1.9411100000000001,281.176,11.776,1.472,
17,1469,11752,15.3,292928,1.5422,0.823,0.177,0.0,277.0,1.927,1.7571,0.1698,0.6187,1.1384,1.7937,0.6868,0.1678,0.9366,1.5422,1.0,96,0,0,428.0,8399.0,41009.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0017.pt,49.0,4.8984,0.000193006,,,,,,,7.133333333333334,2.3330555555555557,11.391388888888889,4.616666666666666,0.8166666666666667,1.9300599999999999,292.928,11.752,1.469,
18,1540,12320,16.0,305248,1.5187,0.688,0.312,0.0,362.0,1.9268,1.7539,0.1729,0.6076,1.1463,1.7855,0.6895,0.1699,0.9358,1.5187,1.0,96,0,0,513.0,8912.0,40603.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0018.pt,50.0,4.6801,0.000191811,,,,,,,8.55,2.4755555555555557,11.278611111111111,6.033333333333333,0.8333333333333334,1.9181100000000002,305.248,12.32,1.54,
19,1504,12032,15.7,317280,1.579,0.833,0.167,0.0,329.0,1.9282,1.755,0.1732,0.5969,1.1581,1.7863,0.6896,0.1704,0.9362,1.579,1.0,96,0,0,480.0,9393.0,40046.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0019.pt,50.0,4.4997,0.000190526,,,,,,,8.0,2.609166666666667,11.123888888888889,5.483333333333333,0.8333333333333334,1.90526,317.28,12.032,1.504,
20,1409,11272,14.7,328552,1.7077,0.823,0.177,0.0,301.0,1.9365,1.7627,0.1739,0.5915,1.1712,1.7901,0.6873,0.1708,0.9367,1.7077,0.5,96,0,0,639.0,10032.0,40131.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0020.pt,50.0,4.5093,0.000189153,0.5,8.0,8.0,0.0,0.55,False,10.65,2.7866666666666666,11.1475,5.016666666666667,0.8333333333333334,1.8915300000000002,328.552,11.272,1.409,0.0
21,1369,10952,14.3,339504,1.7149,0.74,0.26,0.0,274.0,1.9223,1.7444,0.178,0.5611,1.1833,1.7725,0.6964,0.1736,0.9357,1.7149,1.0,96,0,0,427.0,10460.0,39350.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0021.pt,50.0,3.963,0.000187693,,,,,,,7.116666666666666,2.9055555555555554,10.930555555555555,4.566666666666666,0.8333333333333334,1.87693,339.504,10.952,1.369,
22,1488,11904,15.5,351408,1.5277,0.792,0.208,0.0,314.0,1.9393,1.7582,0.1811,0.5667,1.1915,1.784,0.6923,0.1767,0.9352,1.5277,1.0,96,0,0,467.0,10927.0,38744.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0022.pt,50.0,4.0884,0.000186149,,,,,,,7.783333333333333,3.035277777777778,10.762222222222222,5.233333333333333,0.8333333333333334,1.86149,351.408,11.904,1.488,
23,1503,12024,15.7,363432,1.5661,0.823,0.177,0.0,398.0,1.9504,1.7693,0.181,0.5714,1.198,1.7943,0.6886,0.1764,0.9356,1.5661,1.0,96,0,0,551.0,11479.0,38430.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0023.pt,50.0,4.108,0.000184521,,,,,,,9.183333333333334,3.1886111111111113,10.675,6.633333333333334,0.8333333333333334,1.8452099999999998,363.432,12.024,1.503,
24,1321,10568,13.8,374000,1.7063,0.76,0.24,0.0,261.0,1.9552,1.7685,0.1867,0.5597,1.2088,1.7924,0.6881,0.1815,0.9338,1.7063,1.0,96,0,0,414.0,11893.0,37663.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0024.pt,50.0,4.0397,0.000182812,,,,,,,6.9,3.303611111111111,10.461944444444445,4.35,0.8333333333333334,1.82812,374.0,10.568,1.321,
25,1400,11200,14.6,385200,1.6679,0.75,0.25,0.0,292.0,1.9774,1.7868,0.1906,0.5694,1.2173,1.8084,0.6823,0.1854,0.9328,1.6679,1.0,96,0,0,533.0,12427.0,37282.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0025.pt,50.0,4.0518,0.000181023,1.0,16.0,0.0,0.0,0.55,True,8.883333333333333,3.4519444444444445,10.356111111111112,4.866666666666666,0.8333333333333334,1.81023,385.2,11.2,1.4,1.0
26,1504,12032,15.7,397232,1.5572,0.729,0.271,0.0,414.0,1.9488,1.7579,0.191,0.5354,1.2224,1.7803,0.6945,0.1853,0.9327,1.5572,1.0,96,0,0,567.0,12994.0,36984.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0026.pt,51.0,3.4673,0.000179156,,,,,,,9.45,3.6094444444444442,10.273333333333333,6.9,0.85,1.79156,397.232,12.032,1.504,
27,1354,10832,14.1,408064,1.7253,0.792,0.208,0.0,282.0,1.9349,1.7468,0.188,0.5149,1.2319,1.7681,0.6996,0.1835,0.9336,1.7253,1.0,96,0,0,435.0,13430.0,36311.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0027.pt,51.0,3.358,0.000177214,,,,,,,7.25,3.7305555555555556,10.086388888888889,4.7,0.85,1.77214,408.064,10.832,1.354,
28,1387,11096,14.4,419160,1.6423,0.698,0.302,0.0,292.0,2.0045,1.8054,0.1991,0.5652,1.2402,1.8215,0.6783,0.1934,0.9301,1.6423,1.0,96,0,0,445.0,13875.0,35681.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0028.pt,51.0,4.1062,0.000175198,,,,,,,7.416666666666667,3.8541666666666665,9.911388888888888,4.866666666666666,0.85,1.75198,419.16,11.096,1.387,
29,1434,11472,14.9,430632,1.6767,0.771,0.229,0.0,308.0,1.9819,1.7859,0.196,0.5407,1.2452,1.8058,0.6872,0.1919,0.9312,1.6767,1.0,96,0,0,461.0,14337.0,35102.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0029.pt,50.0,3.5731,0.000173111,,,,,,,7.683333333333334,3.9825,9.750555555555556,5.133333333333334,0.8333333333333334,1.73111,430.632,11.472,1.434,
30,1375,11000,14.3,441632,1.6336,0.823,0.177,0.0,328.0,1.9627,1.7688,0.1939,0.5179,1.2509,1.7868,0.6939,0.1897,0.9323,1.6336,1.0,96,0,0,587.0,14924.0,34824.0,alphazero_gomoku/outputs/checkpoints/a100-4-prod-v3/gomoku10_iter_0030.pt,51.0,3.2858,0.000170955,1.0,16.0,0.0,0.0,0.55,True,9.783333333333333,4.145555555555555,9.673333333333334,5.466666666666667,0.85,1.7095500000000001,441.632,11.0,1.375,1.0
