step,phase,epoch,examples,loss,policy_loss,soft_policy_loss,value_loss,policy_kl,policy_top1,value_mae,lr,seconds,best,checkpoint
26,mcts,2,5940,7.6422731232562855,3.3217674545968823,4.271741956010812,0.19505501348362225,1.3485426584879556,0.3202020207238117,0.348000293147283,0.0001,2.9690000000045984,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0002.pt
27,mcts,3,5940,7.485160190248329,3.194557049298527,4.247506302534932,0.17238773996581133,1.221332195872811,0.3737373738176494,0.3342489991525207,0.0001,4.39100000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0003.pt
28,mcts,4,5940,7.340603351271915,3.0770450238828304,4.225318281899398,0.15295999276918995,1.1038200821539368,0.4203703719357449,0.3118832946626426,0.0001,5.813000000001921,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0004.pt
29,mcts,5,5940,7.208569961123996,2.9715780031801473,4.20309165061925,0.1356015555384986,0.9983531003046517,0.46077441067406627,0.28809179671685703,0.0001,7.25,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0005.pt
30,mcts,6,5940,7.083125044761683,2.8727883029064345,4.180035245298135,0.12120637898693984,0.8995633805239642,0.5058922565344608,0.26567900602263633,0.0001,8.671999999998661,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0006.pt
31,mcts,7,5940,6.9767716783465765,2.79132269865736,4.158664165201412,0.10713932925101483,0.8180977765558545,0.5415824885320182,0.24876097583208823,0.0001,10.109000000004016,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0007.pt
32,mcts,8,5940,6.8826213008225565,2.720113656496761,4.138659528289178,0.09539223975103713,0.7468888271135915,0.5816498336567221,0.2345295987044922,0.0001,11.578000000001339,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0008.pt
33,mcts,9,5940,6.80576839382801,2.663386146789448,4.121719125625662,0.08265203641921984,0.6901612449575354,0.6153198619884273,0.21731115596663672,0.0001,13.0,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0009.pt
34,mcts,10,5940,6.744954289651479,2.6198653577554105,4.107371873566598,0.07086756152135354,0.6466405102299521,0.6420875394384468,0.20027381522888285,0.0001,14.421999999998661,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0010.pt
35,mcts,11,5940,6.692984637507686,2.582913554798473,4.095292284352209,0.05911472534591501,0.6096886723129837,0.6617845078510066,0.18097039768190096,0.0001,15.844000000004598,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0011.pt
36,mcts,12,5940,6.651903014070658,2.5540830342456546,4.085552192456794,0.04907124862827436,0.5808581345009082,0.6786195250472637,0.1650642363511352,0.0001,17.26600000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0012.pt
37,mcts,13,5940,6.617489566224994,2.5308445875893537,4.076663331311159,0.03992661761264207,0.5576197052644158,0.691077443606123,0.14720163885190432,0.0001,18.68800000000192,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0013.pt
38,mcts,14,5940,6.59046727190114,2.512126600702202,4.069909701042303,0.03372348897685908,0.5389016596957891,0.7020202016589617,0.13568109104328285,0.0001,20.14100000000326,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0014.pt
39,mcts,15,5940,6.567279372873531,2.4963919039125795,4.063644589318169,0.028971545236429783,0.5231669911631831,0.7037037033424635,0.126691904006783,0.0001,21.5940000000046,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0015.pt
40,mcts,16,5940,6.5468041256220655,2.4822042567962748,4.057964627750795,0.02654080091401784,0.5089792589145878,0.7116161577227943,0.12021064120109635,0.0001,23.031000000002678,True,outputs\checkpoints\distill-oldbest-128x8\gomoku10_student_epoch_0016.pt
