iteration,loss,policy_loss,soft_policy_loss,value_loss,policy_kl,policy_top1,value_acc,value_mae,target_entropy,pred_entropy,selfplay_entropy,black_win_rate,white_win_rate,avg_moves,replay,lr,grad_norm,iter_seconds,total_seconds,evaluated,eval_score,promoted,checkpoint
96,13.140458919107914,1.697286982339815,2.8514065244779934,0.025204654157278128,0.1059368309755271,0.8572779307806531,0.9659695844165981,0.07969586848048493,1.5913501549114764,1.6920468341650186,1.5453183803510202,0.8125,0.1875,14.3125,1832,3.1340620260305474e-05,9.275089584290981,565.7977670329999,565.797767193,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0096.pt"
97,13.201910428702831,1.7321050225999959,2.8546399070788704,0.034352660935837775,0.15787965652100056,0.8347058621124709,0.9536170959472656,0.09851480775978416,1.5742253657689638,1.7324328480375615,1.4383247915039616,0.734375,0.265625,15.171875,3774,3.1075902805486446e-05,10.228275284171104,449.348604886,449.3486064580002,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0097.pt"
98,13.435325309634209,1.7463886710971153,2.907642047910204,0.03930198328453116,0.18534179417577196,0.8259972647765277,0.9478416442871094,0.10751330148195848,1.5610468650831977,1.749960872497269,1.4227440064641903,0.828125,0.171875,15.390625,5744,3.039319874855937e-05,11.464561879634857,423.9045014190001,873.2536936450001,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0098.pt"
99,13.587475784122944,1.771198929869321,2.937917453715843,0.04303075873758644,0.211944034501318,0.81055010695403,0.9416885375976562,0.11556162516353652,1.559254895111544,1.7747275004069274,1.4057750815606633,0.71875,0.28125,15.375,7712,2.9716157075183262e-05,12.760501071810722,473.47906857099997,1346.7331202760001,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0099.pt"
100,13.707150213420391,1.7977747188961757,2.959629042585503,0.04715200758073479,0.22766490878594212,0.8022776111513313,0.9376411437988281,0.12176388956140727,1.5701098195798622,1.8029749669263302,1.5492544863877828,0.8125,0.1875,14.90625,9620,2.9045059531932095e-05,13.795554719865322,5951.188326186,7297.921849889999,True,0.34375,False,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0100.pt"
101,13.824775330722332,1.8213527294183418,2.982054527328272,0.05004507704870775,0.2486310920711866,0.7931189023339194,0.9316749572753906,0.12817332992563024,1.5727216429327147,1.8290545229391464,1.5347154768853168,0.7734375,0.2265625,15.7578125,11637,2.8380185391767912e-05,14.789082750678062,441.0575998540007,7738.979804167,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0101.pt"
102,13.945950262248516,1.8363725829311481,3.0083322852799435,0.050805182341719046,0.2592668833720547,0.7864946409585931,0.9317054748535156,0.13004900567466393,1.5771057048682073,1.847313567171261,1.4695473738594649,0.7734375,0.2265625,15.5390625,13626,2.7721811337823322e-05,15.38051938265562,466.29250901700107,8205.272724843999,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0102.pt"
103,13.980042815208435,1.8447166967724906,3.015097293017599,0.04976835090201348,0.26611988469348885,0.7859860585861725,0.9343948364257812,0.12863869610009715,1.5785967984102331,1.856464945902261,1.5895994079234954,0.8203125,0.1796875,14.9296875,15537,2.7070211348261473e-05,16.099071860313416,444.90065607700126,8650.173738778,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0103.pt"
104,14.109775424003601,1.8672948078025304,3.041127507113306,0.05195608176290989,0.27749367955484033,0.7797867089116185,0.9318275451660156,0.13211788958869874,1.5898011176839129,1.8771601539651328,1.55904569844892,0.8203125,0.1796875,14.4921875,17392,2.642565658226188e-05,16.913834005594254,447.14661496400004,9097.320774243999,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0104.pt"
105,14.204442270100117,1.8861301925453653,3.0602294779311308,0.05169291538186371,0.29011726712240193,0.7746636061876901,0.9322357177734375,0.13241486117476597,1.5960129290737388,1.8947233035335385,1.5511824538462502,0.78125,0.21875,14.953125,19306,2.910281391781499e-05,18.100933142006397,445.7203401549996,445.720342087001,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0105.pt"
106,14.093792825937271,1.8659698346534381,3.0376404454751373,0.05153670615982264,0.2751152384223098,0.78339337754423,0.9325485229492188,0.13102038082433864,1.5908546044893581,1.87553157427793,1.537978562739648,0.78125,0.21875,15.421875,19366,2.5158752586921973e-05,16.799733012914658,508.56195225400006,508.5619537859984,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0106.pt"
107,14.116709508001804,1.8675283251560357,3.0420302098576655,0.053903758293017745,0.2809287057870789,0.7815393818085609,0.9288177490234375,0.13434080680599436,1.5865996311625599,1.8802507223340903,1.5450142391531505,0.765625,0.234375,14.5625,21230,2.45369305715985e-05,17.32436840236187,471.8039681400005,980.366465219,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0107.pt"
108,14.212447322905064,1.888057042268505,3.060950564342828,0.053839356143726036,0.29361765009761964,0.776897606291246,0.9290084838867188,0.1342310263426043,1.5944394127222146,1.8977771883365677,1.6435312374227649,0.828125,0.171875,14.984375,23148,2.392320798847415e-05,17.856270149350166,428.146691983,1408.5140383119997,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0108.pt"
109,14.176729135215282,1.8832095855617215,3.0525912263417796,0.05557783582480624,0.2989357655732318,0.7745045189705005,0.9276885986328125,0.13721859868383035,1.5842738066745548,1.8982589423004277,1.5327140897063045,0.7890625,0.2109375,14.7734375,25039,2.3317840234287333e-05,18.62620110809803,468.48563502700017,1877.000055950999,False,1.0,True,"alphazero_gomoku/outputs/checkpoints/v2/gomoku10_iter_0109.pt"
